rank,movie_id,title,predicted_rating,model,user_id
1,6029,Amelie (2001),4.808,SVD,742175
2,3456,Lost: Season 1 (2004),4.679,SVD,742175
3,5519,The West Wing: Season 1 (1999),4.591,SVD,742175
4,4427,The West Wing: Season 3 (2001),4.59,SVD,742175
5,13556,The West Wing: Season 2 (1999),4.583,SVD,742175
6,7833,Arrested Development: Season 2 (2004),4.572,SVD,742175
7,3371,Whale Rider (2003),4.558,SVD,742175
8,13665,As Time Goes By: Series 9 (2002),4.546,SVD,742175
9,3509,"U2: Go Home: Live From Slane Castle, Ireland (2002)",4.538,SVD,742175
10,17165,The Daily Show with Jon Stewart: Indecision 2004 (2004),4.535,SVD,742175
